,remarks,label
1971,fam visit alamat tagih kost2an. tidak ada respon. nunggu uang infois,other rent house
2344,"visit ke rumah orangtua, sudah melakukan pembayaran via Alfamart terdekat",other family house
553,vst almt rmh ybs keadaan rmh kosong by phone tdk aktif ,house
908,fam fu deb di tempat lain ketemu deb dan di pres bayar minggu ini di kawal,others
2077,dtg ke kost db sdh bayar via point payment,other rent house
2082,fu ke kontrakan ketemu suami yg bayar angsuran,other rent house
464,visit alMt ktemu anak ybs info ybs lagi kirim barang bybohone belum respon unit tdk terlihat fu,house
1325,bertemu kons cod nan di dekat pom gajam mada pembayaran partial belum sempat foto kons buru pergi,others
898,sudah visit hari rabu kemarin pada saat cms masih eror dan data konsumen belum turun dicollector dan diketahui SPV rumah tutupan dan by phone dengan pengguna dana JB tanggal 30 menunggu gajian ,house
1682,bertemu ybs dikantor ybs nego denda dikantor ram akan kawal,office
1032,visit ke alamat lain bertemu konsumen info lagi usahain dana revisit,others
2309,visit ker alamat orang tuanya tidak bertemu dan debitur sendri tidak ada dan info tetangga debitur ada di India kenak kasus hukum info unit tidak terlacak. ,other family house
2685,"Fam visit ke rumah ortu kons, ketemu dengan ayah kons yang janji akan bantu usahakan dana dalam minggu ini.",other family house
2532,"kerumah kerabat kons, pembayaran via pp Alfamart sudah dibayar",other family house
2583,"visit ke rumah adik kons, adik info kons sedang berusaha dapat dana tambahan, kons janji setor minggu depan.",other family house
2791,bertemu di tempat usaha di pasar temon masih diupayakan uang belum terkumpul jb  sebelum jth ke dua Fu ulang,business location
1079,ketemu pk di kota. pres PK masih mengusahakan JB maksimal tanggal 15 bayar 2 angsuran. karakter PK baddebt dan menyepelekan angsuran. akan follow up ulang,others
1397,visit ke tempat kerja orang tua kons dan janji bayar hari ini akan di kawal,office
1618,sudah visit bertemu ybs di kantor tadi pagi ybs telah melakukukan pelunasan via virtual account bca. fu,office
2926,visit dialamat usaha info tetangga konsumen keluar by phone mengusahakan sebelum tgl 20 untuk setor satu angsuran,business location
400,Sudah bayar kons bayar virtual account,unknown
2806,vsit ketempat usaha juga tidak ada ada konsumen unit di kuasi pasangan karaker dan kapasitas,business location
2414,"visit ke tempat saudara, kons berhasil transaksi lewat payment point Alfamart",other family house
2422,"mendatangi rumah saudara konsumen, konsumen bayar via Alfamart",other family house
1150,ketemu kons di pom bensin karanganyar kons bayar current di alfamart samping pom bensin,others
80,ybs karakter byr pembayaran selalu lewat japo,unknown
2873,visit ke tempat usaha YBS warung YBS tekan pembayaran maksimal sampai tanggal 29 unit dipakai anaknya kerja,business location
2713,"Visit ke: 2
Nama : wilson fernando
No kontrak :  5412201047
Bucket : 1-30
Konsumen : ada
Unit : Ada
Jb/deadline : 
Pekerjaan : bantu ditoko dtmpat ortua
Alamat: Ranggo
Ket : fam vsit ktoko ortua yg dsingkut. Dan ktmu ank buah kons. Kons tidak ad dtko. Fu by phone kons lagi di linggau bawa kluarga brobat. Dan anak buah kons tidak mau dttipkan sp3 dan kons minta ktmu bsok karna bsok kons sdah plang.",business location
625,visit ke rumah kons tpi situasinya sedang sepi via phone anak kons belum merespon info sebelumnya msih mencukupkan dananya krn bru ready 1 bulan,house
535,vst krmh nmun tdk ada orang drmh di hbgi byfhone tdk di reppon akan fam Fu kembli,house
736,rumah dalam keadaan tertutup hasil cc tetangga debitur sedang keluar kota,house
1370,visit tempat kerja trbaru di pom bensin info dri rekan kerja lamaa namun ybs tidak ada dn sudah kluar 1bln lalu fu. y phone tidak respon krna diblokir mantan istri tidak tau kebradaan ybs skrang,office
209,Kunjungan ke alamat lain ktm Konsumen selesai bayar partial dalam penekanan bayar Curent ,unknown
3134,"Tidak bertemu saat kunjungan ke tempat usaha, fam akan visit kembali hari ini.",business location
2083,dtg kost kons pengawas info kons plg pagi blm ada kepastian,other rent house
1883,fam visit ke kost kons.kons tdk ada.kons sblmnya 2 hari lalu byr via pp.untuk tagihan bulan ini kons akan ushakn tgl 19 pling lambat,other rent house
1660,ke alamat kantor konsumen PT Unilever bertemu dengan kacung konsumen atas nama Endin bus pembayaran sebelum akhir bulan,office
1197,bertemu kons janjian di indomaret minta waktu smpai thr dan gaji masuk dibayar current komitmen kons unit di gadai ke temennya kons tdk kopertif memberi info alamat trbaru dan dan posisi unit,others
1062,dikunjungi di alamat baru konsumen untuk angsuran konsumen mengandalkan uang masuk dari perusahaan,others
2086,fu ke tempat kost kons masih sementara menunggu gaji,other rent house
1290,done pp cod d indomaret .,others
2509,"kunjungan konsumen di rumah kerabat, konsumen sudah melakukan pembayaran via Alfamidi",other family house
1987,fam visit kealamat kost debitur bertemu anak debitur sedang bekerja fam titip pesan dengan anak akan visit kembali ,other rent house
1598,di kunjungi di alamat kantor debitur intraksi sama debitur dana saat ini belum ada dananya di pres debitur untuk bayar secepatnya,office
1250,bayar kekurangan angsuran kemarin note:cod di klenteng gudo,others
380,bertemu ybs info dari ybs lagi tunggu gajian revisit,unknown
2764,visit kealamat usaha 'pondok Bali indah' keadaan tempat sepi bertemu dengan penjaga  yang ngekost masih belum semuanya pulang. Fu by phone ga diangkat info terkahir sampai akhir bulan minta waktu,business location
2029,ybs karakter dan tidak ketemu ketika di kunjungan ke kontrakannya dan info unit di bawa anaknya kerja di jakarta,other rent house
1057,Visit diasrama kesatuan Denzipur ketemu debitur info blm. ada dana untuk pembayaran angsuran. unit sdh dijual oleh debitur ke temannya lalu dijual kembali dan skrg tdk diketahui keberadaannya. akan koordinasi dgn tim Denpom untuk bantu pelacakan dan pressure ybs. ,others
3033,Di kunjungi di tempat usaha debitur. Akan usahakan pembayaran besok.,business location
3102,"Kunjungan ke alamat tempat usaha, namun kons masih usahakan dana, fams akan pastikan kembali dan revisit.",business location
472,vjsit ke alamat tagih tidaj ada siapa2 info tetangga debitur sudah pindah dan hanya ada org tuanya.  sudah di tlp respon ada jb tgl 11 maksimalnya 12 sudah masuk angsuran,house
1587,visit alamat_ketemu di kantor_unit ada_ketemu ybs jb tanggal 10 bayar 2bln,office
2590,"Visit ke tmpt saudara kons, keluarga kons janji bayar setelah dapat upah dari kerja.",other family house
859,penyerahan sp3 bertemu dg konsumen di alamat sekarang di perumahan caracas kuningan jb.tgl.19 februari fu kembali,house
1195,visit ketemuan diluar sama konsumenketemuan diwarkop dipasar siantankarna konsumen mau pergi ke tempat keluarga di sui rengasjadi ngajak ketemuan di warkopalamat konsumen di jungkatinteraksi sama konsumen mengenai angsuran konsumenkonsumen bayar angsuran di indomaretbayar sesuai tunggakanunit masih dikuasai konsumen.,others
474,dbtr TDK di alamt brtmu psngn smntara ada janji bayar akan di fu kembali ,house
53,jb tgl 26 dlam kawlan ram ,unknown
122,dikunjungi dibalamt lain ram bertemu dengan anak debitur unit dipakai oleh anak debitur di Kendari ram Fu pemegang unit tapibtelfon tidak direspon,unknown
1015,visit kealamat lain inputan visit manual karena aplikasi error konsumen masi usahakan dananya agak sedikit kurang kooperatif,others
3071,"visit kealamat usaha, tutup. kons sdh di visit unit pakai kons buat usaha ada jnji byr di mnggu ini.",business location
1711,kons tdak ada di tmpat kerja kons ad kluar kons tdak mau pembyaran dikarnkan kons pengambilanx 1 tahun namun di sistem 1 tahun stegah kons sdh ke kantor namun tdak di layani,office
1949,visit ke kontrakan kons kons tdk ada d tmpat hub via tlp kons jb hari ini unit tdk terlihat,other rent house
651,konsumen tidak ada di rumah info anaknya konsumen masih kerja Fu lagi ,house
2788,visit ke tempat usaha pihak ke 3 pak Ion ada jb tunggu uang tagihan sayuran di catering,business location
2933,visit tempat usaha kons tdk ada d tmpat sembtra mengusahakan dana akan bayar secepatnya,business location
16,kons tidak ditempat by phone no respon. akan di fu kembali.,unknown
601,visit ke alamat kons tidak berada di rumah fu by phone kons belum merespon ,house
398,bayar 2 angsuran di Past Due 30 pada bucket 1-30,unknown
656,visit kerumahnya konsumen sepi hubungi via telepon konsumen masih pergi ke masjid ,house
1586,Sudah visit hari jumat tgl 2 agustus 2024 smc error bukti visit sesuai lampiran foto input dikantor diketahui BAMH visit alamat kerjaan bertemu konsumen JB Sabtu tgl 10 menunggu gajian suaminya,office
551,drmah nda ada org. cek ulg,house
1945,visit kost kons tidak ada orang tlfn kons tidak merespon,other rent house
2563,"Ram visit ke rumah orang tua kons, ketemu keluarga, unit tidak ada, info dari ortu bahwa kons jb setelah dapat upah.",other family house
856,penyampaian sp dan sp dselipkan karena drumah tdk ada pk dselipkan drumah blakang,house
915,konsumen dikunjungi di alamat lain FAM ketemu dengan debitur di jalan debitur masih kurang dana karena itiknya gagal menetas semuaJB hari Senin ,others
860,debitur tdk ada drmh rumah tutup SP ditaruh bawah pintu by phone tdk pernah di respon unit jg tdk pernah terlihat info digadaikan,house
2655,visit rmh ortu info ortu kons dana akan diusahakan jb tgl 26 fu lg,other family house
1429,"fam visit ke tpt kerja pasangan  pasangan tidak masuk kerja info sakit
fam hub by phone tidak diangkat",office
1898,"kunjungan ke kost konsumen tutupan.. by phone not respon. konsumen karakter buruk. tidak ada etikat bayar .
 unit tidak ada ",other rent house
238,sdh visit info dari konsumen lewat wa janji bayar tanggal 11,unknown
1258,visit cod an sama konsumen di Indomaret konsultasi nunggu Transfer an,others
1784,visit ke tempat kerja BRI tegalombo pacitan . konsumen tidak ada dikantor by phone bpm respon ,office
2542,"kunjungan ke rumah kerabat kons, bayar via Alfamart",other family house
3125,"pic ke tempat usaha, ybs bayar 1 angsuran via edc, kons alasan usaha sepi",business location
234,konsumen ada unit tidak terlihat konsumen sudah bayar current,unknown
3147,"Visit ke tmpt usaha, ketemu dengan karyawan kons, kons sedang tidak ada, FU via telepon belum ada respon.",business location
2378,"visit ke tempat anak kons, bayar current di Alfamart terdekat",other family house
1831,visit ke kost kons.kons tdk ada di tempat fam hub phone kons di jakarta.kons msh ushakn dana.fam presure agar bsok sdh ada pembyaran,other rent house
2100,kunjungan kostan ketemu db usahakan cari pinjaman keluarga,other rent house
2849,kunjungan ketempat usaha konsumen ketemu istri konsumen  konsumen lagi keluar By phone ke konsumen belum ada respon. siap di Fu kembali,business location
1981,"Sudah dilakukan kunjungan ke alamat kost kons, bertemu dengan konsumen, dana masih diupayakan",other rent house
1228,visit konsumen janji cod nan di depan pasar puru sekalian konsumen belanja dan janji bayar hari ini lewat pp unit ada,others
2718,visit ke lapak buah y. kons Mita wkt sehabis lebaran,business location
814,rumah tutup  Fu via telpon kons usahakan hari ini sampai besok Fu kembali,house
529,sudah visit dan tagging dan bertemu ybs unit terpantau ybs kasih jb tgl 13 sudah input di alamat langsung namun smc eror serta status pending dan baru saja pertgl 12 instal versi terbaru fam input ulang kembali,house
2125,Ktemu istri kons di kontrakan info kons masih sdang mngupayakan danaakand vsit dn Fu kmbali,other rent house
223,konsumen sudah bayar tgl 10/4/2024 via pp,unknown
334,ketemu dengan kons dan kons janji bayar sore ini menunggu gaji dikirim oleh suami ,unknown
1857,visit ke alamat konsumen dan bertemu dengan teman kost konsumen dan infonya konsumen belum pulang kerja. follow up melalui telepon belum ada respon. masih terus di follow up,other rent house
3067,"Visit ke tempat usaha konsumen, konsumen berjanji bayar tanggal 29, namun sementara menggumpulkan dana dan diusahakan secepatnya, konsumen sedang terkendala usaha konfeksi sepi.",business location
2424,"berkunjung ke rumah saudara, pembayaran oleh konsumen via Alfamart",other family house
1304,bayar 3 angsuran cod di jalan,others
124,Kons tdk di tempat. By phone jb sesuai tnggl,unknown
1460,Visit ketempat kerjanya  Kons sedang libur  Fu no respon  Next visit kembali,office
2484,"tempat orangtua konsumen dikunjungi, telah dilakukan pembayaran current di Alfamart",other family house
479,kons tidak ditempat. fu by phone tidak respon ,house
412,bertemu keluarga kons infi keluarga kons lagi ke mamuju kerja ,unknown
436,dilakukan visit sore karena hujan deras kons wanprestasi belum. ada dana kons fam press bayar minggu ini,unknown
880,rumah dalam keadaab kosong,house
2843,visit bertemu konsumen ditempat usaha konsumen. usaha konsumen jualan sayur di pasar inpers. unit ada. akan di pres bayar tgl 10,business location
2348,"visit ke rumah mertua, sudah bayar melalui payment point Alfamart",other family house
2772,visit alamat usahanya dalam Kostrad TNI konfirm sodaranya yg bayarkan di Flores fam sudah fu sodaranya belum di respons fam akan fu kembali,business location
1837,fam visit ke kons.kons tdk ada dkost l.fam fu phone msh ushakn dana.fam presure tgl 23 bsok sdh ada pembyaran,other rent house
842,kons atas nama tidak dirumah hanya ada adik ipar nya. by phone no respon. akan di fu kembali.,house
3068,"visit ketempat usaha pemegang unit, ybs masih mengusahakan dana. diusahakan bayar sebelum jatuh tempo untuk pembelian angsuran dari hasil jualan.",business location
1679,konsumen bayar 2 bulan di kantor bitung,office
1794,visit di alamat kantor tpi tidak bertemu dgn konsumen tlpon ada janji bayar paling lama tgl 6,office
2558,"Ram visit ke alamat mertua kons, ketemu keluarga, info kons sedang keluar kota, telepon tidak direspon, akan di FU dan visit kembali.",other family house
1840,ke almat kost debt sdh pindah lagi by tlf n wa di sekitar bambe debt baru mulai les lagi di ushkan akhir bln.unit ada pnya debt,other rent house
1331,cod dg konsumen di warung  pembayaran 2 x angsuran ,others
237,konsumen sudah melakukan pembayaran partial 1 angsuran,unknown
3046,"Visit ke tempat usaha pemakai dana tidak bertemu, konsumen masih menunggu pencairan dana akan mengusahakan pembayaran dalam waktu dekat.",business location
697,sudah kunjungan sebelum data kontrak ini masuk ke SMC. ybs tidak dirumah ,house
1851,"ketenu konsumen d merembu barat kost lons
umen",other rent house
1047,hasil follow up ketemu konsumen di dekat asrama militer. jnj byr tgl 28. fam push pmbyrn diusahakan minggu dpn bs dislsaikan.,others
1789,bertemu dengan istri kons di kantor bayar dua angsuran plus denda via EDC ,office
2701,visit ketempat usaha konsumen kosong tidak ada orang FAm selipkan sp 3 dirumah konsumen. unit sudah lama tidak dikuasi konsumen dan yang bertanggung jawab ialah mertua konsumen. pengakuan mertua konsumen unit dikuasi rekanya. indikasi unit sudah over alih,business location
2796,visit ke tempat usaha jualan konsumen tidak buka jualan. dihubungi konsumen lagi sakit. akan divisit kembali,business location
1119,ketemu konsumen di alamat lain terkait angsuran konsumen mau ke kantor mau bayar sama denda pelunasan,others
1423,visit ke alamat kerja ybs tidak ada ditempat kerja,office
364,Sudah dikunjungi nasabah sedang pergi kerja blm balik titip amor saja depan pintu dan fu ulang by wa,unknown
2046,kunjungan ke kost kons msh usahkn dana input smc beda lokasi,other rent house
2765,visit kealamat usaha 'pondok Bali indah' keadaan tempat sepi bertemu dengan penjaga  yang ngekost masih belum semuanya pulang. Fu by phone ga aktif,business location
2629,"Tidak ketemu kons saat kunjungan ke rmh ibu kons, hub by phone blm dijawab, fam jadwalkan revisit.",other family house
1579,Konsumen sudah melakukan pelunasan di kantor,office
2886,visit alamat jualan ybs bertmu istri ybs unit terlihat ybs melakukan oembayaran via alfa bukti terlampir,business location
940,janjian dengan ybs di pom bensin Cibanteng ybs bayar 11 lagi akhir bulan,others
1260,Bertemu cod konsumen di alun alun kebumen jb tanggal 23,others
2384,"mendatangi rumah mertua kons, kons sudah melakukan pembayaran lewat Alfamart",other family house
2970,"Interaksi dgn ybs di tempat usaha, kons janji bayar tanggal 18 karena pencairan dari sablon diundur, kons masih usahakan dana.",business location
1936,menunggu kosnumen janjian ktemu dgn konsumen. krna konsumen kmren bayar di indomart ada kslahan.. dan konsumen byr lg via sea bank- ks usaha warung makan,other rent house
1825,visit ke kontrakan kons kontrakan sepi info tetangga pindah alamat by phone tidak di respon akan di Fu kembali,other rent house
2628,"Visit ke rmh mertua kons, tidak ketemu kons, mertua sampaikan kons lagi tggu kiriman. By phone tidak respon, fam akan revisit.",other family house
1819,"Visit ke         : 1
Nama Kons : dewiza an
No kontrak   : 4142200901
Bucket Awal : 30+
PD                 :
Konsumen   : tidak ada 
Unit               : tidak ada 
JB/Deadline : 
Note              :  visit tidak bertemu konsumen. Konsumen di padang. Fam visit di kontrakan konsumen. Fam WA konsumen perihal visit dan penagihan namun tidak direspon.",other rent house
2641,"Kunjungan ke rumah mertua kons, ktmu kons di lokasi dan sudah melunasi sebagian.",other family house
2634,"krmh saudara 
info kons ngekost di dalam kota
fu by phone janji dalam minggu ini
current",other family house
1623,ketemuan sama konsumen dinkantornego pelunasan,office
2610,"Ram visit ke tmpt paman kons, paman janji kontak kons soal pembayaran, akan di fu",other family house
2221,"Fam visit ke kos kons tidak ada, hub via telepon, JB tgl 12",other rent house
1612,datangi kantor kons XL center dihandil ketemu SPVnya bernama Budi. biasanya jam 9 pagi kons sdh keluar kantor pulang ndak nentu biasa sore sampai malam. di tlp kons ndak angkat. tipes ke SPVnya orang leasing datang ke kantor nagih hutang,office
590,fam kunjungi di alamat rumah debitur tidak ada di tempat by phone tidak valid,house
734,Visit dirumah tdk ketemu karena sdh pindah alamat di Palu daerah Dayodara di BTN namun tdk diketahui pasti. info keluarga depan rumah ybs sdh lama pindah karena dr Kalimantan sedangkan org tuanya msh di Kalimantan. akan diassign ke ekscoll untuk bantu pelacakan. unit sdh digadaikan oleh temannya sesuai info FAM. ,house
1011,visit ke ruko kons bertemu keluarganya kons berada di morowali bersama pasangannya by phone tidak di jawab titip pesan ke keluarga kons,others
1326,dibayar istri dan konsumen cod kekantor,others
2223,"Revisit ke kos, kons janji bayar minggu depan, fam akan fu lg",other rent house
1218,bayar parsial ketemu di rest area Lamping via Indomaret ,others
1966,fu di tempat kost. kons sedang cari dana tambahan,other rent house
230,konsumen masih mencari kekurangan dana nya dan mau mengajukan diskon nya,unknown
1845,ram visit ke kost an ybs  ybs sedang keluar info ybs mau di lunasin bulan ini ram akan kawal dan visit kembali nanti ,other rent house
9,kapasitas minim konsumen sudah bikin spjb utk bayar 2 bulan ,unknown
985,fam visit ke warkop kerabat konsumen tempat biasa nongkrong kerabat bilang konsumen sedang di belitung konsumen di wa dan telpon tidak diangkat fam akan visit ke tempat orang tua dalam waktu dekat,others
371,Fu lewat WhatsApp by phone info kons blm ada dana JB Minggu besok akan dikawal,unknown
2022,ketemuan di rumah kontrakan kons abis bayar awal bulandan kemungkinan bayar lagi di akhir bulanpress lebih cepat,other rent house
3098,"Kunjungan ke alamat tempat usahanya, namun konsumen sampai saat ini masih menunggu dana terkumpul, kons usahakan akhir bulan.",business location
2307," CNPL OSP 4.7 JT visit ke orang tua/pemegang unit info bapak konsumen sudah jual hp untuk setoran tapi pasang tidak bayar2.
Pasangan jarang pulang
konsumen karakter tidak bertanggung jawab atas angsuran ",other family house
687,Dikunjungi di alamat rumah tidak bertemu ybs. ybs janji bayar tanggal 27,house
1185,kunjungan ke alamat lain ktm konsumen bayar Curent via Indomaret ,others
2188,ketemu konsumen d tempat kost konsumen selesai current.,other rent house
825,"fam berkunjung ke alamat debitur bertemu dgn debitur fam pres bayar hari ini namun debitur masih menunggu dana dari kerja sawahnya...akqn di kawal 



#pada saat di rumah debitur jaringan fam hilang dan bukti visit ada di telegram",house
727,rumah dalam keadaan kosong ucap salam tidak ada yang respon fu by wa kons sedang usahakan dana untuk pembayaran ,house
1710,ketemu PK di tempat kerja PK kantor Telkom Tulungagung PK sebagai satpam PK jb tanggal 15-an karena belum gajian,office
2978,visit debitur bertemu ybs ditempat usaha kapasitas minim kons masih mengusahakan pantau,business location
2945,visit bertemu konsumen ditempat usaha kons masih usaha dana,business location
2130,visit kost konsumen ada unit adakons minta waktu sampai Jum'at karena kons belum gajihan . dan uang insentif baru akan turun d hari kamis,other rent house
779,visit alamat rumah sepi tidak ada yg keluar cekling ttg ybs sudah pindah ke Padasuka Bandung tidak tau alamat pasti by phone tidak ada respon ,house
2491,"tempat mertua telah dikunjungi, pembayaran lewat Alfamart sudah dilakukan konsumen",other family house
3083,visit ke tempat usaha bertemu kons. kons masih megumpulkan dana dari usaha percetakan.,business location
2722,visit ke alamat kios debitur di bandoa dan bertemu debitur infonya dananya baru ada di tgl 16.,business location
403,kons sudah bayar by pp,unknown
2480,"alamat kerabat konsumen dikunjungi, pembayaran lewat Alfamidi telah dilakukan",other family house
1059,visit ke alamat lain konsumen masih mengusahakan dana untuk pembayaran ,others
563,visit kelamat pemakai unit sekarang anak kons atas nama Rina alamat jl.transmigrasi pal 7 ada warung ungu sebelah kiri ada room karoke nya sebelum pom bensin info masih menunggu pembayaran invoice kontrak mobil dari perusahaan press ditgl 3.,house
2211,"Visit ke alamat kosan konsumen, kons masih menunggu dana cair.",other rent house
2557,"Visit ke rumah mertua kons, mertua info kons skrg kos, akan dilakukan pelacakan",other family house
2856,ktmu sama kons di tempat usaha jualan Es Dawet keluarga kons kena Musibah,business location
2314,visit ke alamat lain ketemu keluarga.. namun keluarga tidak tau dimana atas nama sekarang,other family house
2721,visit ke usaha ybs unit tdk Di kuasai Di usahakan senin,business location
1021,visit ketempat proyekan suami debt tempat proyekan sepi pada di gembok Fu suami debt by phone belum merespon respon sebelumnya fam sudah melakukan arahkan kepada suami debt untuk melakukan pembayaran sebelum akhir bulan dan suami debt mengusahakannya info sebelumnya usaha proyekan bengkel lasnya sedang sepi next visit Fu kembali ,others
2959,visit usaha akan bayar angsuran dari hasil usahanya,business location
2995,"Ditempat usaha debitur Ram bertemu dengan ibu debitur untuk pembayaran angsuran, kons sudah melakukan pembayaran.",business location
1835,visit bertemu pemilik kost dan konsumen sudah pindah ke malang,other rent house
2704,Visit ke tempat usaha di dekat rumah alamat baru konsumen di candirenggo singosari dana masih minim karena cafe sepi diusahakan cari pinjaman ke saudara press bayar,business location
1653,visit di kantor konsumen  melakukan pembayaran current info unit ada di tambang,office
1348,kons biasa ngajak cod di pom ngembal. istri baru aja melahirkan dan jb di usahakan dlm minggu depan. sdh lama unit tdk ada / tdk di bawa kons,others
650,visit rumah kons masih mengumpulkan dana dan fam cba minta pembayaran max tgl 13 unit ada,house
2664,"visit alamat ortu kons, kons belum ada dana kons tunggu dana muatan kayunya dan dana kost2sannya koms jb tgl 26 unit di kuasai kons",other family house
1265,paid partial COD kimia farma ijen,others
903,ketemuan dengan konsumen di stadion Mojosari bayar partial,others
2525,"kunjungan alamat sodara kons, bayar di Alfamart terdekat",other family house
3091,visit ketempat usaha bertemu kons jb tgl 15 menunggu tagihan kons keluar. kons masih mengusahakan dana dlm minggu ini unit tidak ada di usaha.,business location
260, KtemU kons info kons jb bsok paling lambat lusa akan d fu kmbali,unknown
2687,"Hasil kunjungan ke rumah adik kons, ketemu kons dan pasangan, kons jb saat gaji suami turun tanggal 10.",other family house
424,Konsumen bayar. Hasil progres dari visitan sebelumnya.,unknown
959,visit ke apotek cabang info ybs blm datang by phon ybs jb tgl 13,others
1030,visit ke alamat lain tidak bertemu konsumen info dari tetangga konsumen lagi dikampung revisit,others
3100,"Visit ke tempat usaha kons, kons tdk ada d tmpat hub via tlp, kons masih mengusahakan dana, kons usahakan dana jb minggu ini.",business location
2462,"visit di alamat mertua konsumen, konsumen bayar current di payment point Alfamidi",other family house
683,visit kerumah kons di rmh tdk ada org hub via tlpn kons blm responvisit kembali,house
1334,Sudah bayar COD an di Gondangrejo,others
520,visi ahanf wiludu kons tdk ad dirmh via tlpn nmr aktif tdk angkat,house
19,kons jb nunggu uang terkumpul,unknown
2891,kunjungan ke alamat usaha konsumen di Manukan dilakukan pressing dan akhirnya membayar melalui payment point di Indomaret Manukan Krajan,business location
1122,R1/visit ke alamat tagih kons sudah pindah alamat sejak lama tidak ada yg tau pindah kemana info tetangga kons hanya ngontrak disana sebelumnya ada pihak saudara yg datang ke kantor ingin mengajukan pelunasan mengajukan melalui front end untuk kedua kontrak aktif pengajuan diangka 71.5jt,others
2297,visit kerumah ortunya tdk adaby phone ybs nunggu uang dari suaminya,other family house
177,ybs sudah bayar current,unknown
488,kons nd ad drmh info dri birman kons ad di lokasi fu tlp nd respon Cek ulg ,house
1676,visit ke alamat kantor kons lagi keluar by WA jb besok,office
3092,visit ketempat usaha bertemu ybs jb tgl 10 dikawal. kons lagi usahakan cari dana pinjaman sambil nunggu gajian cair.,business location
71,unit berhasil ditebus dari keluarga kns sebesar 300.000-,unknown
2984,dikunjungi di tempat usaha kons dan bertemu keluarga kons info kons masih mengusahakan dana sebelum akhir bulan.,business location
550,tejing di Nuangan di karenakan di alamat konsumen tidak ada jaringan atw sinyal lebih tepatnya di matabulu' kons msih tnggu dana hsil kerja b laohh ikang ,house
2624,"Visit ke tmpt ibu kons, ibu sampaikan kons masih kerja, JB bln ini. No hp blm aktif, fam visit kembali minggu depan.",other family house
2671,"visit rmh keluarga kons, kons tidak ada di lokasi fam akan Fu lagi",other family house
1164,ketemuan sama pasangan konsumen diluar di alfamidi NIP smc blank tadi tidak bisa akses konsumen bayar partial,others
2969,"Kunjungan ke tempat usaha kons, kons masih mengusahakan dana, nunggu pinjaman dari saudara kons.",business location
2530,"visit ke rumah saudaranya, pembayaran oleh konsumen lewat Alfamart",other family house
73,ketemu dengan karyawan nya dan infonya karyawan tidak mengetahui kemana konsumen keluar,unknown
1282,visit konsumen di Jak codenan di tempat usahanya ruko puri dan konsumen janji bayar tgl 23/9/24konsumen nunggu tranferan dari dia usaha dan unit ada,others
2020,bertemu istri di kontrakannya press pembayaran ,other rent house
279,ketelmu kluarga konsumen msh d usajln pmbyrannya,unknown
998,visit ke almat lain .info dari kons unit hilang di curi dan sudah lapor kepolisi,others
1327,kons ajak cod di rs mitra bangsa mlh gk jadi. krn uang blm genap. ngabari klo tgl 25 besok mau lngsng ke kantor byr 2 angsuran pokok sm denda,others
540,visit alamat tagih kosong dihubungi no respon... cekling tidak ada yg tau next Fu lgi push byphone juga,house
1255,cod di lapangan gondang manis dekat balaidesa. unit sdh lama tdk ada dan infonya di bawa temen org jati. jb minggu depan bayar 2 angsuran tgl 25 nunggu uang irep keluar,others
2665,visit rmh orang tuakonsumen tidak ketemu info tetangga pindah masih dalam pelacakan unit via tlp masih tunggu gajian ,other family house
876,nd ada orang dirumah telfon nd aktif,house
1547,Visit ketempat kerja an Indra Gandi Pasaribu ketemu dgn kons ditempat kerjainfo dari kons bahwa unit sudah hilang dibuat anak nyadan kons tidak mau membuat LPkarena alasan tidak ada biayasebelum masuk ke Beam sudah pernah negosiasi dgn LPSK di kantor konsnamun kons tidak mau menjalankan apa yang dibilang LPSK nyakons terkenal dikantor nya sebagai org yg banyak hutangplan Beam akan request s,office
1410,visit ke tmpat kerja suami unit tdk terlihat kntor sepi. Fu info ybs mau byar tgl 18 ini tunggu gaji suami. Fu kmbali,office
945,bayar konsumen bertemu diluar titik loasi rumah,others
1771,visit ketempat kerja tapi konsumen tidak berada ditempat info dari teman konsumen lagi kekantor DPRD di fu by phone tidak direspon akan di fu kembali,office
2456,"visit ke tempat mertua, pembayaran oleh konsumen di Alfamart",other family house
626,konsumen kerja di urban travel dan kondisi masih bekerja serat keadaan rumah sepi hanya ada unitnya saja vistul byp slow respont,house
1363,visit alamat kerja ybs JB akhir bulan,office
702,rumah sepi II fu by Phone slow respon terkait kewajibannya,house
2976,dikunjungi di alamat usaha tidak bertemu ybs dihubungi bye phone kons masih mengusahakan sblm tgl 17,business location
1016,visit ke alamat lain sblmnya sdh bertemu kons fu byphone kons sdg usahakan dana untuk melakukan pembayaran dalam penekanan revisit.,others
686,visit kerumah konsumen sepi hubungi via telepon konsumen masih ke gudang dan sedang mengusahakan dananya,house
1723,hasil visit ke alamat kantor anak selaku penanggung jawab angsuran an Vita ketemu dengan rekan kerja info ibu Vita lagi ikut kegiatan di kota Gorontalo di fu via telpon no aktif tidak ada jawaban di fu kembali,office
1120,Visit konsumen di sekolah tidak bertemu Info dari teman guru kons keluar tidak tau kemanapada penginputan smart mengalami ganguan sehingga Fam melakukan penginputan di kantor,others
2189,visit ke kos2an tidak bertemu konsumen di telfon katanya masih keluar,other rent house
1179,Ram brtmu ybs di Indomaret ybs bayar pmbyran current 2 bulan angsuran serta ada bukti struk nya.,others
